,,,,,
,time_min,co_mg_L,ce_mg_L,qt_mg_g,sd
,5,113,70.243,32.89,2.61
,10,113,53.148,46.04,1.78
,15,113,48.676,49.48,2.74
,20,113,37.678,57.94,3.18
,30,113,33.024,61.52,2.93
,45,113,20.609,71.07,2.96
,60,113,19.322,72.06,2.56
,90,113,12.861,77.03,2.16
,120,113,12.172,77.56,2.82
,150,113,7.869,80.87,2.07
,180,113,3.813,83.99,1.32
