,,,,
,co_mg_L,ce_mg_L,qe_mg_g,sd
,10,0.6812,9.3188,0.2031
,20,1.043,18.957,0.2120
,30,1.875,28.125,0.2937
,40,2.654,37.346,0.2730
,50,3.528,46.472,0.3242
,60,5.071,54.929,0.3313
,70,7.569,62.431,0.3404
,80,11.34,68.66,0.3279
,90,19.78,70.22,0.3057
,100,28.12,71.88,0.3260
